alder,asfr_norm
15,0.0000223
16,0.00015456666081951678
17,0.0004949861781749781
18,0.0011674475260175403
19,0.0033592304084229915
20,0.0055138033164292225
21,0.009514667201587971
22,0.014315699164430738
23,0.019837655531792474
24,0.027895650211561356
25,0.03682567554371083
26,0.04893903823222015
27,0.056379833310768214
28,0.0687315396068868
29,0.07576266588023392
30,0.08200941908861684
31,0.08235265382956841
32,0.0807535491015141
33,0.07478674239102576
34,0.06735667592832152
35,0.05916656230115619
36,0.046898637006940004
37,0.0398135933887908
38,0.030154684429826304
39,0.0227276979362053
40,0.015583565201711341
41,0.010818005295249336
42,0.007535077361319142
43,0.004881074100956407
44,0.0025466658751533877
45,0.0015014269738305359
46,0.00118720166519388
47,0.0005843715634940675
48,0.0002711420188867829
49,0.0001565854384135422
